id,question,ground_truth,contexts,evolution_type
R11,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",reasoning
R12,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",reasoning
R13,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Don xin nghi phai duoc Giam doc bo phan phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",reasoning
M01,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",multi_context
M02,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",multi_context
M03,So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",multi_context
M04,So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Moi 5 nam tham nien cong them 1 ngay nghi phep."", ""Ho so nhan su luu tru toi da 5 nam.""]",multi_context
M05,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",multi_context
M06,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",multi_context
M07,So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",multi_context
M08,So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Moi 5 nam tham nien cong them 1 ngay nghi phep."", ""Ho so nhan su luu tru toi da 5 nam.""]",multi_context
M09,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",multi_context
M10,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",multi_context
M11,So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",multi_context
M12,So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Moi 5 nam tham nien cong them 1 ngay nghi phep."", ""Ho so nhan su luu tru toi da 5 nam.""]",multi_context
