id,question,answer_a,answer_b,run1_winner,run2_winner,winner_after_swap,score_a,score_b,position_flip,len_a,len_b
S21,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"Can kiem tra lai quy dinh, hien tai chua co thong tin xac thuc.",A,B,A,1.0,0.15,False,13,14
S22,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Tom tat: Mat khau phai duoc thay doi moi 90 ngay.,A,TIE,A,1.0,0.9,True,9,11
S23,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Tom tat: Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,A,TIE,A,1.0,0.9,True,15,17
S24,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Tom tat: Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,TIE,TIE,TIE,1.0,1.0,False,16,18
S25,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.,TIE,TIE,A,1.0,0.9,False,14,27
R01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.",TIE,TIE,TIE,1.0,1.0,False,30,32
R02,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Nhan vien chinh thuc duoc nghi phep nam 15 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 20 ngay moi nam.",A,B,A,1.0,0.2,False,29,29
R03,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Can kiem tra lai quy dinh, hien tai chua co thong tin xac thuc.",A,B,A,1.0,0.15,False,27,14
R04,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Tom tat: Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",TIE,TIE,TIE,1.0,1.0,False,26,28
R05,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.",A,B,A,1.0,0.75,False,33,46
R06,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.",TIE,TIE,TIE,1.0,1.0,False,30,32
R07,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.",TIE,TIE,TIE,1.0,1.0,False,29,31
R08,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Tom tat: Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.",TIE,TIE,TIE,1.0,1.0,False,27,29
R09,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Tom tat: Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",TIE,TIE,TIE,1.0,1.0,False,26,28
R10,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.",A,B,A,1.0,0.75,False,33,46
R11,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Nhan vien chinh thuc duoc nghi phep nam 15 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.",A,B,A,1.0,0.25,False,30,30
R12,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.",TIE,TIE,TIE,1.0,1.0,False,29,31
R13,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Tom tat: Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.",TIE,TIE,TIE,1.0,1.0,False,27,29
M01,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Tom tat: Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.",TIE,TIE,TIE,1.0,1.0,False,28,30
M02,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec. Ngoai ra thong tin bo sung nay khong can thiet cho cau hoi.",TIE,TIE,A,1.0,0.9,False,28,41
